incident_id,year,month,department,incident_type,severity,shift,worker_experience,root_cause,days_lost,corrective_action_taken
INC-0001,2019,5,Maintenance,Manual Handling,Near Miss,Day,5–10 years,Equipment failure,0,Yes
INC-0002,2023,5,Tailings Management,Slip / Trip / Fall,Near Miss,Day,3–5 years,Equipment failure,0,Yes
INC-0003,2022,7,Electrical,Struck by Object,Lost Time Injury,Afternoon,5–10 years,Poor communication,1,Partial
INC-0004,2023,6,Underground Mining,Struck by Object,Medical Treatment,Afternoon,5–10 years,Inadequate supervision,1,Yes
INC-0005,2024,5,Electrical,Equipment Contact,Near Miss,Night,<1 year,Insufficient training,0,No
INC-0006,2022,7,Open Pit Operations,Slip / Trip / Fall,Near Miss,Afternoon,5–10 years,Human error,0,Yes
INC-0007,2022,8,Electrical,Slip / Trip / Fall,Lost Time Injury,Night,1–3 years,Inadequate procedure,3,Partial
INC-0008,2019,7,HSE / Supervision,Manual Handling,Near Miss,Night,5–10 years,PPE non-compliance,0,Yes
INC-0009,2020,6,Open Pit Operations,Slip / Trip / Fall,Fatality,Afternoon,<1 year,Equipment failure,0,Partial
INC-0010,2022,5,Electrical,Manual Handling,Near Miss,Night,<1 year,Human error,0,Partial
INC-0011,2023,2,Drilling & Blasting,Near Miss,Near Miss,Day,>10 years,Inadequate supervision,0,Yes
INC-0012,2023,12,Drilling & Blasting,Vehicle Collision,Medical Treatment,Day,1–3 years,Environmental condition,1,Yes
INC-0013,2021,9,Underground Mining,Slip / Trip / Fall,First Aid,Day,1–3 years,Environmental condition,0,Partial
INC-0014,2019,1,Open Pit Operations,Vehicle Collision,Near Miss,Afternoon,<1 year,Human error,0,Yes
INC-0015,2021,11,Maintenance,Struck by Object,Lost Time Injury,Night,1–3 years,Insufficient training,3,Yes
INC-0016,2024,11,Processing Plant,Manual Handling,First Aid,Night,5–10 years,PPE non-compliance,0,Yes
INC-0017,2020,12,Maintenance,Struck by Object,First Aid,Day,1–3 years,Environmental condition,0,Yes
INC-0018,2022,6,Tailings Management,Vehicle Collision,Medical Treatment,Afternoon,1–3 years,Inadequate procedure,1,Yes
INC-0019,2024,2,Underground Mining,Slip / Trip / Fall,First Aid,Afternoon,1–3 years,Inadequate procedure,0,Yes
INC-0020,2019,8,Processing Plant,Slip / Trip / Fall,Medical Treatment,Night,<1 year,Human error,1,Partial
INC-0021,2022,2,Maintenance,Vehicle Collision,Near Miss,Night,<1 year,Inadequate procedure,0,Yes
INC-0022,2024,10,Logistics & Transport,Struck by Object,Near Miss,Day,5–10 years,Insufficient training,0,Yes
INC-0023,2020,11,Underground Mining,Vehicle Collision,First Aid,Night,1–3 years,Equipment failure,0,Yes
INC-0024,2022,12,Drilling & Blasting,Electrical Incident,Lost Time Injury,Afternoon,1–3 years,Poor communication,9,Yes
INC-0025,2024,5,Electrical,Struck by Object,Medical Treatment,Day,3–5 years,Human error,1,No
INC-0026,2019,4,Open Pit Operations,Manual Handling,Near Miss,Afternoon,1–3 years,Fatigue,0,Partial
INC-0027,2022,12,Electrical,Equipment Contact,Near Miss,Day,1–3 years,Insufficient training,0,Yes
INC-0028,2023,1,Processing Plant,Equipment Contact,Medical Treatment,Afternoon,>10 years,Equipment failure,1,Yes
INC-0029,2023,7,Processing Plant,Chemical Exposure,First Aid,Day,<1 year,Inadequate procedure,0,Yes
INC-0030,2022,12,Tailings Management,Manual Handling,Near Miss,Night,>10 years,Human error,0,No
INC-0031,2020,9,Open Pit Operations,Manual Handling,Near Miss,Afternoon,1–3 years,Equipment failure,0,Yes
INC-0032,2022,1,Maintenance,Chemical Exposure,Near Miss,Afternoon,3–5 years,Inadequate procedure,0,Yes
INC-0033,2021,6,Drilling & Blasting,Slip / Trip / Fall,Medical Treatment,Afternoon,>10 years,Inadequate procedure,1,Partial
INC-0034,2022,8,Logistics & Transport,Manual Handling,First Aid,Night,>10 years,Poor communication,0,Yes
INC-0035,2021,1,Drilling & Blasting,Equipment Contact,First Aid,Day,<1 year,Insufficient training,0,No
INC-0036,2024,6,Processing Plant,Manual Handling,Near Miss,Day,5–10 years,Environmental condition,0,Yes
INC-0037,2023,8,Maintenance,Struck by Object,Medical Treatment,Day,>10 years,Inadequate procedure,1,Yes
INC-0038,2021,1,Drilling & Blasting,Equipment Contact,First Aid,Day,5–10 years,Inadequate supervision,0,Yes
INC-0039,2022,1,Open Pit Operations,Chemical Exposure,Fatality,Day,5–10 years,Fatigue,0,Yes
INC-0040,2021,12,Maintenance,Equipment Contact,Medical Treatment,Day,5–10 years,Insufficient training,1,Yes
INC-0041,2022,11,Underground Mining,Slip / Trip / Fall,Near Miss,Night,<1 year,Insufficient training,0,No
INC-0042,2021,3,Processing Plant,Struck by Object,Near Miss,Afternoon,1–3 years,Insufficient training,0,Partial
INC-0043,2023,10,Maintenance,Manual Handling,Near Miss,Day,5–10 years,Poor communication,0,Yes
INC-0044,2021,10,Underground Mining,Vehicle Collision,Near Miss,Afternoon,1–3 years,Insufficient training,0,No
INC-0045,2022,3,Logistics & Transport,Electrical Incident,Medical Treatment,Night,3–5 years,Inadequate procedure,1,Yes
INC-0046,2023,2,Open Pit Operations,Equipment Contact,Medical Treatment,Day,3–5 years,Inadequate procedure,1,Partial
INC-0047,2021,5,Open Pit Operations,Equipment Contact,Medical Treatment,Day,1–3 years,Inadequate supervision,1,Yes
INC-0048,2024,3,Open Pit Operations,Struck by Object,Lost Time Injury,Day,<1 year,Human error,2,Yes
INC-0049,2020,9,Open Pit Operations,Equipment Contact,Medical Treatment,Afternoon,3–5 years,Inadequate procedure,1,Yes
INC-0050,2023,6,Underground Mining,Manual Handling,Near Miss,Day,1–3 years,Inadequate procedure,0,Yes
